,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
0,Ladder,20211013T184457.000Z,Luiz Ricardo,strombax,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Magic Archer,Bandit,Electro Wizard,Royal Ghost,Barbarian Barrel,Cannon Cart,Battle Ram,Tornado
1,Ladder,20211013T183835.000Z,Luiz Ricardo,Assass1n,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Lava Hound,Guards,Minions,Zap,Fireball,Mega Minion,Tombstone,Balloon
2,Ladder,20211013T183214.000Z,Luiz Ricardo,O.Y,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Elixir Collector,Ice Golem,Royal Ghost,Barbarian Barrel,Three Musketeers,Hunter,Battle Ram,Bandit
3,Ladder,20211013T182410.000Z,Luiz Ricardo,TRT丨Cooper,3,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Goblin Drill,Fire Spirit,Goblins,Wall Breakers,Bomber,Valkyrie,Tesla,Fireball
4,Ladder,20211013T181840.000Z,Luiz Ricardo,simo bn❤️⚡,0,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Minions,Fireball,Zap,Electro Wizard,Bandit,Battle Ram,Royal Ghost,P.E.K.K.A
5,Ladder,20211013T181235.000Z,Luiz Ricardo,PowerStrike,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Goblin Drill,Wall Breakers,Fireball,Fire Spirit,Inferno Tower,Valkyrie,The Log,Spear Goblins
6,Ladder,20211013T180722.000Z,Luiz Ricardo,Raphou,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Royal Hogs,Royal Recruits,Zappies,Flying Machine,Fireball,Electro Spirit,Goblin Cage,Barbarian Barrel
7,Ladder,20211013T180210.000Z,Luiz Ricardo,Rey Supremo,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Electro Wizard,Barbarian Barrel,Tornado,Baby Dragon,Lightning,Mega Minion,Goblin Cage,Royal Giant
8,Ladder,20211013T175619.000Z,Luiz Ricardo,⭐Soudy™⭐,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Mortar,Minion Horde,Spear Goblins,Miner,Bats,Cannon Cart,Zap,Guards
9,Ladder,20211013T175156.000Z,Luiz Ricardo,●•●,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Mortar,The Log,Cannon Cart,Fireball,Skeletons,Miner,Archers,Minion Horde
10,Ladder,20211013T163637.000Z,Luiz Ricardo,SNG Bielvinis,0,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Royal Giant,Fisherman,Mother Witch,Mega Minion,Electro Spirit,Skeletons,Fireball,The Log
11,Ladder,20211013T130828.000Z,Luiz Ricardo,RamboOo,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Hog Rider,Tornado,Goblin Gang,Minion Horde,Executioner,Zap,Elite Barbarians,Freeze
12,Ladder,20211012T221932.000Z,Luiz Ricardo,CHN丨Mr.Ca$h✨,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Royal Giant,Tesla,Electro Spirit,Earthquake,Elite Barbarians,Firecracker,Skeletons,The Log
13,Ladder,20211012T221035.000Z,Luiz Ricardo,EA Alex✨,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Mother Witch,Flying Machine,Cannon Cart,Barbarian Barrel,Furnace,Fireball,Elite Barbarians,Goblin Hut
14,Ladder,20211012T220358.000Z,Luiz Ricardo,Luciffer 69,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Furnace,Fireball,Flying Machine,Barbarian Barrel,Goblin Hut,Cannon Cart,Elite Barbarians,Mother Witch
15,Ladder,20211012T215617.000Z,Luiz Ricardo,simo bn❤️⚡,0,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Magic Archer,Fireball,Zap,Electro Wizard,Bandit,Battle Ram,Royal Ghost,P.E.K.K.A
16,Ladder,20211012T214501.000Z,Luiz Ricardo,CHN丨sight✨,3,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Inferno Dragon,Ice Golem,Fireball,Lumberjack,Zap,Magic Archer,Ram Rider,Bandit
