,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
0,Ladder,20211006T143711.000Z,Mattia™ 2,CoLoNeL Akam,2,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Giant,Balloon,Freeze,Skeletons,Minions,Minion Horde,Skeleton Army,Arrows
1,Ladder,20211006T134805.000Z,Mattia™ 2,♣️♦️Pedal♥️♠️,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Royal Recruits,Zappies,Fireball,The Log,Miner,Wall Breakers,Flying Machine,Elite Barbarians
2,Ladder,20211006T134339.000Z,Mattia™ 2,xV1ktoRx,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Mega Knight,Goblin Gang,Spear Goblins,Inferno Dragon,Miner,Skeleton Barrel,Zap,Bats
3,Ladder,20211006T132100.000Z,Mattia™ 2,ken,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,P.E.K.K.A,Ram Rider,Bandit,Barbarian Barrel,Baby Dragon,Electro Wizard,Lightning,Giant Snowball
4,Ladder,20211006T131550.000Z,Mattia™ 2,Blazzer,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Lava Hound,Skeleton Dragons,Mega Minion,Barbarians,Flying Machine,Miner,Barbarian Hut,Arrows
5,Ladder,20211006T130946.000Z,Mattia™ 2,one,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Giant Skeleton,Elite Barbarians,Skeleton Barrel,Mother Witch,Flying Machine,Furnace,Clone,Cannon Cart
6,Ladder,20211006T130339.000Z,Mattia™ 2,CODE: ROCKSTAR,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Mega Knight,Ram Rider,Inferno Dragon,Electro Wizard,Barbarian Barrel,Giant Snowball,Poison,Bandit
7,Ladder,20211006T124748.000Z,Mattia™ 2,Adripc04,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Valkyrie,Archers,Goblin Hut,The Log,Fireball,Royal Giant,Fire Spirit,Electro Wizard
8,Ladder,20211006T124137.000Z,Mattia™ 2,Mohamed Light,1,2,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Lava Hound,Flying Machine,Skeleton Dragons,Mega Minion,Goblin Cage,Miner,Guards,Arrows
9,Ladder,20211006T123735.000Z,Mattia™ 2,Nova I⚡Mystofa⚡,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Lava Hound,Balloon,Bomber,Inferno Dragon,Minions,Skeleton Army,Giant Snowball,Fireball
11,Ladder,20211006T072324.000Z,Mattia™ 2,lithos l daizin,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Goblin Giant,Prince,Dark Prince,Goblin Gang,Spear Goblins,Bats,Fireball,Zap
12,Ladder,20211006T071550.000Z,Mattia™ 2,EL PANA (8,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Mega Knight,Flying Machine,Cannon Cart,Furnace,Minion Horde,Mini P.E.K.K.A,Fireball,Goblin Hut
13,Ladder,20211006T070852.000Z,Mattia™ 2,⚡HarD™⚡,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Giant,Graveyard,Skeleton Army,Bats,Bowler,Night Witch,Arrows,Giant Snowball
14,Ladder,20211005T225527.000Z,Mattia™ 2,the one,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Lava Hound,Flying Machine,Skeleton Dragons,Mega Minion,Goblin Cage,Miner,Guards,Arrows
15,Ladder,20211005T223829.000Z,Mattia™ 2,♥️GRand king♥️,2,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Inferno Dragon,Valkyrie,Balloon,Minions,Fireball,Lava Hound,Zap,Tombstone
16,Ladder,20211005T223141.000Z,Mattia™ 2,Ｌｉｑｕｉｄａｔｏｒ⚡,0,1,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Golem,Night Witch,Goblin Cage,Baby Dragon,Ice Wizard,Lightning,Barbarian Barrel,Tornado
17,Ladder,20211005T221753.000Z,Mattia™ 2,CMG I Zodiac™✨,0,0,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Elixir Golem,Battle Healer,Fireball,Electro Dragon,The Log,Barbarian Hut,Baby Dragon,Tornado
18,Ladder,20211005T220130.000Z,Mattia™ 2,Renan Cava,3,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Fire Spirit,Bats,Ice Golem,Princess,The Log,Hog Rider,Mini P.E.K.K.A,Rocket
19,Ladder,20211005T212053.000Z,Mattia™ 2,Bidzo™,0,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Ice Golem,Hog Rider,Musketeer,Ice Spirit,Skeletons,Cannon,Fireball,The Log
20,Ladder,20211005T202913.000Z,Mattia™ 2,arian,1,0,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Hog Rider,Inferno Dragon,Bomber,Freeze,Zap,Mega Knight,Bats,Prince
21,Ladder,20211005T193941.000Z,Mattia™ 2,LD 部落最靓的仔,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Royal Giant,Giant Skeleton,Mother Witch,Goblin Barrel,Skeleton Army,Zappies,Bomber,Arrows
